# id, point_a.x, point_a.y, point_b.x, point_b.y, point_c.x, point_c.y, point_d.x, point_d.y
258,1.4938,-1.0252,1.4938,-1.015,1.5039,-1.015,1.5039,-1.0252
259,1.5039,-1.0252,1.5039,-1.015,1.514,-1.015,1.514,-1.0252
260,1.514,-1.0252,1.514,-1.015,1.524,-1.015,1.524,-1.0252
261,1.524,-1.0252,1.524,-1.015,1.5341,-1.015,1.5341,-1.0252
262,1.5341,-1.0252,1.5341,-1.015,1.5442,-1.015,1.5442,-1.0252
263,1.5442,-1.0252,1.5442,-1.015,1.5543,-1.015,1.5543,-1.0252
264,1.5543,-1.0252,1.5543,-1.015,1.5643,-1.015,1.5643,-1.0252
265,1.5643,-1.0252,1.5643,-1.015,1.5744,-1.015,1.5744,-1.0252
266,1.5744,-1.0252,1.5744,-1.015,1.5845,-1.015,1.5845,-1.0252
267,1.5845,-1.0252,1.5845,-1.015,1.5946,-1.015,1.5946,-1.0252
268,1.5946,-1.0252,1.5946,-1.015,1.6047,-1.015,1.6047,-1.0252
269,1.6047,-1.0252,1.6047,-1.015,1.6147,-1.015,1.6147,-1.0252
270,1.6147,-1.0252,1.6147,-1.015,1.6248,-1.015,1.6248,-1.0252
271,1.6248,-1.0252,1.6248,-1.015,1.6349,-1.015,1.6349,-1.0252
272,1.2721,-1.015,1.2721,-1.0048,1.2822,-1.0048,1.2822,-1.015
273,1.2822,-1.015,1.2822,-1.0048,1.2922,-1.0048,1.2922,-1.015
274,1.2922,-1.015,1.2922,-1.0048,1.3023,-1.0048,1.3023,-1.015
275,1.3023,-1.015,1.3023,-1.0048,1.3124,-1.0048,1.3124,-1.015
276,1.3124,-1.015,1.3124,-1.0048,1.3225,-1.0048,1.3225,-1.015
277,1.3225,-1.015,1.3225,-1.0048,1.3326,-1.0048,1.3326,-1.015
278,1.3326,-1.015,1.3326,-1.0048,1.3426,-1.0048,1.3426,-1.015
279,1.3426,-1.015,1.3426,-1.0048,1.3527,-1.0048,1.3527,-1.015
280,1.3527,-1.015,1.3527,-1.0048,1.3628,-1.0048,1.3628,-1.015
281,1.3628,-1.015,1.3628,-1.0048,1.3729,-1.0048,1.3729,-1.015
282,1.3729,-1.015,1.3729,-1.0048,1.3829,-1.0048,1.3829,-1.015
283,1.3829,-1.015,1.3829,-1.0048,1.393,-1.0048,1.393,-1.015
284,1.393,-1.015,1.393,-1.0048,1.4031,-1.0048,1.4031,-1.015
285,1.4031,-1.015,1.4031,-1.0048,1.4132,-1.0048,1.4132,-1.015
286,1.4132,-1.015,1.4132,-1.0048,1.4233,-1.0048,1.4233,-1.015
287,1.4233,-1.015,1.4233,-1.0048,1.4333,-1.0048,1.4333,-1.015
288,1.4333,-1.015,1.4333,-1.0048,1.4434,-1.0048,1.4434,-1.015
289,1.4434,-1.015,1.4434,-1.0048,1.4535,-1.0048,1.4535,-1.015
290,1.4535,-1.015,1.4535,-1.0048,1.4636,-1.0048,1.4636,-1.015
291,1.4636,-1.015,1.4636,-1.0048,1.4736,-1.0048,1.4736,-1.015
292,1.4736,-1.015,1.4736,-1.0048,1.4837,-1.0048,1.4837,-1.015
293,1.4837,-1.015,1.4837,-1.0048,1.4938,-1.0048,1.4938,-1.015
294,1.4938,-1.015,1.4938,-1.0048,1.5039,-1.0048,1.5039,-1.015
295,1.5039,-1.015,1.5039,-1.0048,1.514,-1.0048,1.514,-1.015
296,1.514,-1.015,1.514,-1.0048,1.524,-1.0048,1.524,-1.015
297,1.524,-1.015,1.524,-1.0048,1.5341,-1.0048,1.5341,-1.015
298,1.5341,-1.015,1.5341,-1.0048,1.5442,-1.0048,1.5442,-1.015
299,1.5442,-1.015,1.5442,-1.0048,1.5543,-1.0048,1.5543,-1.015
300,1.5543,-1.015,1.5543,-1.0048,1.5643,-1.0048,1.5643,-1.015
301,1.5643,-1.015,1.5643,-1.0048,1.5744,-1.0048,1.5744,-1.015
302,1.5744,-1.015,1.5744,-1.0048,1.5845,-1.0048,1.5845,-1.015
303,1.5845,-1.015,1.5845,-1.0048,1.5946,-1.0048,1.5946,-1.015
304,1.5946,-1.015,1.5946,-1.0048,1.6047,-1.0048,1.6047,-1.015
305,1.6047,-1.015,1.6047,-1.0048,1.6147,-1.0048,1.6147,-1.015
306,1.6147,-1.015,1.6147,-1.0048,1.6248,-1.0048,1.6248,-1.015
